Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"BEEP","OffPage","A02_MCU","2","MAIN_MSP430","U8.57","1420","630","1B","{3}"
"BT_LED","OffPage","A03_MODULAR","3","MAIN_MSP430","R41.1,U18.24","1300","740","2B","{2}"
"BT_LED","OffPage","A02_MCU","2","MAIN_MSP430","U8.43","1420","410","1C","{3}"
"BT_EN","OffPage","A02_MCU","2","MAIN_MSP430","U8.42","1420","400","1C","{1}"
"BT_EN","OffPage","A01_POWER","1","MAIN_MSP430","R17.1,U4.3","1140","620","2B","{2}"
"DM","OffPage","A02_MCU","2","MAIN_MSP430","U8.64","770","170","3D","{1}"
"DM","OffPage","A01_POWER","1","MAIN_MSP430","C2.2,R4.2","980","100","2D","{2}"
"DP","OffPage","A02_MCU","2","MAIN_MSP430","U8.62","770","190","3D","{1}"
"DP","OffPage","A01_POWER","1","MAIN_MSP430","C1.2,R1.2,R2.1,R3.2","980","90","2D","{2}"
"12864_LEDA_EN","OffPage","A02_MCU","2","MAIN_MSP430","U8.78","1420","430","1C","{1}"
"12864_LEDA_EN","OffPage","A01_POWER","1","MAIN_MSP430","R20.1,U7.3","730","990","3A","{2}"
"NRF24L01_MOSI","OffPage","A03_MODULAR","3","MAIN_MSP430","U12.4","1040","210","2D","{2}"
"NRF24L01_MOSI","OffPage","A02_MCU","2","MAIN_MSP430","U8.37","1420","280","1C","{3}"
"NRF24L01_CE","OffPage","A03_MODULAR","3","MAIN_MSP430","U12.1","1040","180","2D","{2}"
"NRF24L01_CE","OffPage","A02_MCU","2","MAIN_MSP430","U8.35","1420","310","1C","{3}"
"12864_EN","OffPage","A02_MCU","2","MAIN_MSP430","U8.4","1420","440","1C","{1}"
"12864_EN","OffPage","A01_POWER","1","MAIN_MSP430","R19.1,U6.3","720","810","3B","{2}"
"USB_PUR","OffPage","A02_MCU","2","MAIN_MSP430","U8.63","770","180","3D","{1}"
"USB_PUR","OffPage","A01_POWER","1","MAIN_MSP430","R2.2","1020","70","2D","{2}"
